"","Value","Count","CL","NVC_CLASS","SC","NVC_SUBCL","FRM","NVC_FORM","DIV","NVC_DIV","MACRO_CD","NVC_MACRO","GR","NVC_GROUP","LEVEL3","ECOLSYS_LU","NVCMES"
"1",11,724,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","1.B.1.Na","Southeastern North American Warm Temperate Forest & Woodland","M007","Longleaf Pine Woodland","G009","Dry-Mesic Loamy Longleaf Pine Woodland",4536,"Atlantic Coastal Plain Upland Longleaf Pine Woodland","1.B.1.NaM007G009E11"
"2",34,2,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.1","Warm Temperate Forest","1.B.1.Na","Southeastern North American Warm Temperate Forest & Woodland","M305","Southeastern North American Ruderal Forest & Plantation","G031","Southeastern Native Ruderal Forest",8201,"Deciduous Plantations","1.B.1.NaM305G031E34"
"3",38,19157,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","1.B.1.Na","Southeastern North American Warm Temperate Forest & Woodland","M305","Southeastern North American Ruderal Forest","G031","Southeastern Native Ruderal Forest",8202,"Evergreen Plantation or Managed Pine","1.B.1.NaM305G031E38"
"4",213,290,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M031","Southern Coastal Plain Floodplain Forest","G034","Oak - Sweetgum Floodplain Forest",9801,"Atlantic Coastal Plain Blackwater Stream Floodplain Forest - Forest Modifier","1.B.3.NbM031G034E213"
"5",216,14737,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M031","Southern Coastal Plain Floodplain Forest","G034","Oak - Sweetgum Floodplain Forest",9843,"Atlantic Coastal Plain Small Blackwater River Floodplain Forest","1.B.3.NbM031G034E216"
"6",238,1015,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M032","Southern Coastal Plain Evergreen Hardwood-Conifer Swamp","G037","Coastal Plain Mixed Evergreen Swamp",9838,"Southern Coastal Plain Hydric Hammock","1.B.3.NbM032G037E238"
"7",239,671,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M032","Southern Coastal Plain Evergreen Hardwood-Conifer Swamp","G037","Coastal Plain Mixed Evergreen Swamp",9208,"Southern Coastal Plain Seepage Swamp and Baygall","1.B.3.NbM032G037E239"
"8",247,625,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M033","Southern Coastal Plain Basin Swamp & Flatwoods","G038","Coastal Plain Hardwood Basin Swamp",9239,"Southern Coastal Plain Nonriverine Basin Swamp","1.B.3.NbM033G038E247"
"9",256,110,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","1.B.1.Na","Southeastern North American Warm Temperate Forest & Woodland","M007","Longleaf Pine Woodland","G596","Mesic Longleaf Pine Flatwoods - Spodosol Woodland",9907,"Atlantic Coastal Plain Southern Wet Pine Savanna and Flatwoods","1.B.1.NaM007G596E256"
"10",263,31,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M161","Pond-cypress Basin Swamp","G036","Pond-cypress Basin Swamp",9703,"Southern Coastal Plain Nonriverine Cypress Dome","1.B.3.NbM161G036E263"
"11",401,4,2,"Shrub & Herb Vegetation","2.C","Shrub & Herb Wetland","2.C.4","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland","2.C.4.Ne","Atlantic & Gulf Coastal Plain Marsh, Wet Prairie & Shrubland","M066","Atlantic & Gulf Coastal Fresh-Oligohaline Tidal Marsh","G110","Atlantic & Gulf Coast Fresh-Oligohaline Tidal Marsh",9243,"Atlantic Coastal Plain Central Fresh-Oligohaline Tidal Marsh","2.C.4.NeM066G110E401"
